"LogID","AdvertID","LogIP","LogTimestamp","LogBrowser","LogType","LogOriginPage"
"11811052","782","104.144.52.73","2022-03-22 11:16:29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/article-desc.php"
"11811066","782","104.144.52.73","2022-03-22 11:31:16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/opinion.php"
"11811078","782","222.191.175.192","2022-03-22 12:06:41","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36","C","/index.php"
"11811086","782","51.148.151.217","2022-03-22 16:44:49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/index.php"
"11811114","782","92.118.40.119","2022-03-23 02:11:50","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0","C","/index.php"
"11811151","782","54.39.104.161","2022-03-23 02:55:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811152","782","51.161.117.63","2022-03-23 02:56:03","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811155","782","54.39.50.78","2022-03-23 03:01:09","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811167","782","167.100.109.213","2022-03-23 03:16:10","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811196","782","184.105.108.2","2022-03-23 13:15:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36","C","/article-desc.php"
"11811197","782","34.72.138.12","2022-03-23 13:15:44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/article-desc.php"
"11811213","782","104.129.53.99","2022-03-23 15:46:38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/index.php"
"11811233","782","104.129.53.99","2022-03-23 15:49:25","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/news.php"
"11811247","782","104.129.53.99","2022-03-23 15:52:31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/pages.php"
"11811259","782","104.129.53.99","2022-03-23 15:54:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/vrevents.php"
"11811271","782","104.129.53.99","2022-03-23 15:55:57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/events.php"
"11811281","782","104.129.53.99","2022-03-23 15:56:52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/contact-us.php"
"11811295","782","104.129.53.99","2022-03-23 16:00:20","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/videos.php"
"11811314","782","104.129.53.99","2022-03-23 16:03:23","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/article-desc.php"
"11811327","782","104.129.53.99","2022-03-23 16:07:30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/opinion.php"
"11811344","782","104.129.53.99","2022-03-23 16:15:31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/pages.php"
"11811360","782","167.235.24.102","2022-03-23 21:26:59","Java/11.0.10","C","/article-desc.php"
"11811367","782","78.47.38.165","2022-03-23 21:27:07","Java/11.0.10","C","/pages.php"
"11811368","782","167.235.19.112","2022-03-23 21:27:07","Java/11.0.10","C","/events.php"
"11811401","782","158.69.241.99","2022-03-24 00:26:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811404","782","54.39.243.52","2022-03-24 00:27:35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811407","782","144.217.67.28","2022-03-24 00:32:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811418","782","104.247.210.115","2022-03-24 00:47:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811433","782","45.72.69.220","2022-03-24 05:26:03","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/index.php"
"11811453","782","45.72.69.220","2022-03-24 05:28:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/news.php"
"11811467","782","45.72.69.220","2022-03-24 05:30:45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/pages.php"
"11811479","782","45.72.69.220","2022-03-24 05:32:53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/vrevents.php"
"11811491","782","45.72.69.220","2022-03-24 05:34:04","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/events.php"
"11811501","782","45.72.69.220","2022-03-24 05:34:58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/contact-us.php"
"11811515","782","45.72.69.220","2022-03-24 05:38:24","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/videos.php"
"11811534","782","45.72.69.220","2022-03-24 05:41:28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/article-desc.php"
"11811547","782","45.72.69.220","2022-03-24 05:44:12","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/opinion.php"
